endTime,artistName,trackName,msPlayed
2025-01-03 07:58,Matt Sassari,Give It To Me - Full Vocal Mix,20897
2025-01-03 08:00,Gracie Abrams,That’s So True,166300
2025-01-03 08:15,Charli xcx,Apple,42272
2025-01-03 08:18,Kendrick Lamar,Rich Spirit,202285
2025-01-03 08:21,GloRilla,WHATCHU KNO ABOUT ME (feat. Sexyy Red),149461
2025-01-04 09:51,Kendrick Lamar,luther (with sza),164408
2025-01-04 09:52,Kendrick Lamar,luther (with sza),13185
2025-01-04 09:54,Gracie Abrams,That’s So True,166300
2025-01-04 09:58,Kehlani,After Hours,202414
2025-01-04 10:00,Doechii,NISSAN ALTIMA,126832
2025-01-04 10:02,GloRilla,WHATCHU KNO ABOUT ME (feat. Sexyy Red),149461
2025-01-04 10:05,Gracie Abrams,That’s So True,166300
2025-01-04 10:09,The Weeknd,The Hills,242253
2025-01-04 10:13,Future,Last Breath,239800
2025-01-04 10:16,Lorde,Team,193058
2025-01-04 10:19,Shaboozey,A Bar Song (Tipsy),171291
2025-01-04 10:21,Gunna,on one tonight,90760
2025-01-04 10:23,Kendrick Lamar,squabble up,157992
2025-01-06 04:50,Tory Lanez,The Color Violet,107329
2025-01-06 04:50,Tory Lanez,The Color Violet,3692
2025-01-06 04:53,Gracie Abrams,That’s So True,166300
2025-01-06 04:53,Charli xcx,360,16474
2025-01-06 04:56,Kendrick Lamar,luther (with sza),177598
2025-01-06 04:58,Doechii,NISSAN ALTIMA,126832
2025-01-06 05:01,GloRilla,WHATCHU KNO ABOUT ME (feat. Sexyy Red),149461
2025-01-06 05:02,Gunna,on one tonight,90760
2025-01-06 05:05,Kehlani,After Hours,202414
2025-01-06 05:08,Kendrick Lamar,squabble up,157992
2025-01-06 05:11,Megan Thee Stallion,Mamushi (feat. Yuki Chiba),156988
2025-01-06 05:14,Billie Eilish,BIRDS OF A FEATHER,210373
2025-01-06 05:17,GloRilla,TGIF,164571
2025-01-06 05:20,Addison Rae,Diet Pepsi,169697
2025-01-06 05:22,Sabrina Carpenter,Taste,157279
2025-01-06 06:10,Kendrick Lamar,tv off (feat. lefty gunplay),4761
2025-01-06 06:10,Kendrick Lamar,tv off (feat. lefty gunplay),151774
2025-01-06 06:13,Gunna,one of wun,144000
2025-01-06 06:13,Don Toliver,BANDIT,2089
2025-01-06 06:13,310babii,soak city (do it),35480
2025-01-06 06:13,BigXthaPlug,Mmhmm,1160
2025-01-06 06:13,Gunna,treesh,1207
2025-01-06 06:13,Jordan Adetunji,KEHLANI,1416
2025-01-06 06:13,Kendrick Lamar,Not Like Us,1044
2025-01-06 06:13,Travis Scott,FE!N (feat. Playboi Carti),998
2025-01-06 06:14,Internet Money,Lemonade (feat. NAV),1114
2025-01-06 06:14,Internet Money,Lemonade (feat. NAV),8172
2025-01-06 06:14,BigXthaPlug,Back On My BS,1439
2025-01-06 06:16,Gracie Abrams,That’s So True,166300
2025-01-06 06:17,Charli xcx,Apple,43201
2025-01-06 06:21,Katy Perry,Last Friday Night (T.G.I.F.),230733
2025-01-06 06:21,Katy Perry,Teenage Dream,13063
2025-01-06 06:24,Shaboozey,A Bar Song (Tipsy),171291
2025-01-06 06:27,Marshmello,One Thing Right,181823
2025-01-06 06:31,Chappell Roan,Pink Pony Club,258034
2025-01-06 06:34,ROSÉ,APT.,169917
2025-01-06 06:37,Jack Harlow,Lovin On Me,138411
2025-01-06 06:39,Sam Hunt,Body Like A Back Road,162546
2025-01-06 06:40,Tommy Richman,MILLION DOLLAR BABY,36033
2025-01-06 06:43,Doja Cat,Juicy,203093
2025-01-06 06:49,Fergie,Glamorous,114334
2025-01-06 06:49,Fergie,Glamorous,5527
2025-01-06 06:53,Chappell Roan,Femininomenon,218731
2025-01-07 10:50,Chappell Roan,Red Wine Supernova,1278
2025-01-07 10:50,Chappell Roan,Red Wine Supernova,100748
2025-01-07 10:53,Gracie Abrams,That’s So True,166300
2025-01-07 10:55,Charli xcx,360,133805
2025-01-07 10:58,Kendrick Lamar,luther (with sza),177598
2025-01-07 11:03,Chappell Roan,Pink Pony Club,258034
2025-01-07 11:06,Addison Rae,Diet Pepsi,169697
2025-01-07 12:21,Billie Eilish,BIRDS OF A FEATHER,210373
2025-01-07 12:24,Daya,Hide Away,191368
2025-01-07 12:26,Charli xcx,Apple,151739
2025-01-07 12:27,Sabrina Carpenter,Taste,4365
2025-01-07 12:27,David Guetta,I Don't Wanna Wait,6998
2025-01-07 12:29,Gracie Abrams,That’s So True,166300
2025-01-07 12:30,Lauv,I Like Me Better,39857
2025-01-07 12:33,Kendrick Lamar,luther (with sza),177598
2025-01-07 12:36,Kendrick Lamar,squabble up,157992
2025-01-07 12:38,Doechii,NISSAN ALTIMA,126832
2025-01-07 12:40,GloRilla,WHATCHU KNO ABOUT ME (feat. Sexyy Red),149461
2025-01-08 07:43,Kehlani,After Hours,117220
2025-01-08 07:45,Gracie Abrams,That’s So True,166300
2025-01-08 07:48,Kendrick Lamar,luther (with sza),177598
2025-01-08 07:50,Charli xcx,Apple,72572
2025-01-08 08:42,Gunna,one of wun,85682
2025-01-08 08:43,Gunna,one of wun,58416
2025-01-08 08:44,Gunna,on one tonight,90760
2025-01-08 08:47,GloRilla,WHATCHU KNO ABOUT ME (feat. Sexyy Red),149461
2025-01-08 08:49,Kendrick Lamar,squabble up,157992
2025-01-08 08:50,J. Cole,Work Out,57388
2025-01-08 08:50,Internet Money,Lemonade (feat. NAV),13746
2025-01-08 08:50,Jordan Adetunji,KEHLANI,1253
2025-01-08 08:53,Tyla,PUSH 2 START,156825
2025-01-08 08:55,Doechii,NISSAN ALTIMA,126832
2025-01-08 08:56,Charli xcx,360,31481
2025-01-08 09:00,Katy Perry,Last Friday Night (T.G.I.F.),230733
2025-01-08 09:03,Katy Perry,Teenage Dream,220789
2025-01-08 09:07,Kardinal Offishall,Dangerous,246053
2025-01-08 09:12,Gunna,one of wun,1718
2025-01-08 09:12,Nelly Furtado,Maneater,258893
2025-01-08 09:12,Gwen Stefani,The Sweet Escape,0
2025-01-08 09:16,Gwen Stefani,The Sweet Escape,235937
2025-01-08 09:18,Kendrick Lamar,peekaboo (feat. azchike),109017
2025-01-08 09:22,Future,Last Breath,239800
2025-01-08 09:22,Still Woozy,Goodie Bag,6574
2025-01-08 09:25,The Chainsmokers,Roses,226738
2025-01-08 09:28,Megan Thee Stallion,Mamushi (feat. Yuki Chiba),156988
2025-01-08 10:30,Doja Cat,Agora Hills,151097
2025-01-08 10:31,Doja Cat,Agora Hills,2764
2025-01-08 10:31,Kendrick Lamar,tv off (feat. lefty gunplay),1695
2025-01-08 10:34,Chappell Roan,After Midnight,53659
2025-01-08 10:34,Kendrick Lamar,luther (with sza),177598
2025-01-08 10:38,Chappell Roan,Red Wine Supernova,192720
2025-01-08 10:41,Chappell Roan,Femininomenon,219710
2025-01-08 10:44,GloRilla,WHATCHU KNO ABOUT ME (feat. Sexyy Red),3773
2025-01-08 10:44,Gracie Abrams,That’s So True,166300
2025-01-08 10:47,Tyla,PUSH 2 START,156825
2025-01-08 10:47,Sabrina Carpenter,Taste,1509
2025-01-08 10:47,Billie Eilish,BIRDS OF A FEATHER,835
2025-01-08 10:47,GloRilla,Wanna Be (with Megan Thee Stallion),5097
2025-01-08 10:50,Tinashe,Nasty,2368
2025-01-08 10:50,Addison Rae,Diet Pepsi,2101
2025-01-08 10:50,GloRilla,TGIF,18483
2025-01-08 10:50,Sevdaliza,Alibi (with Pabllo Vittar & Yseult),161655
2025-01-08 10:52,SZA,Scorsese Baby Daddy,1602
2025-01-08 10:52,SZA,Scorsese Baby Daddy,998
2025-01-08 10:52,Tinashe,2 On (feat. ScHoolboy Q),4132
2025-01-08 10:52,Tinashe,2 On (feat. ScHoolboy Q),789
2025-01-08 10:52,Tinashe,No Broke Boys,132773
2025-01-08 10:52,Megan Thee Stallion,Roc Steady (feat. Flo Milli),1137
2025-01-08 10:52,Sabrina Carpenter,Good Graces,7253
2025-01-08 10:53,Sabrina Carpenter,Bed Chem,1091
2025-01-08 10:53,Adanna Duru,WHAT I GOTTA DO???,580
2025-01-08 10:53,Tinashe,Throw A Fit,696
2025-01-08 10:53,Sarina,Up At Night,10007
2025-01-08 10:53,GloRilla,LET HER COOK,603
2025-01-08 10:56,Shaboozey,A Bar Song (Tipsy),171291
2025-01-08 11:00,Chappell Roan,Pink Pony Club,258034
2025-01-08 11:00,Jack Harlow,Lovin On Me,426
2025-01-08 11:00,Still Woozy,Goodie Bag,13305
2025-01-08 11:00,Kungs,This Girl (Kungs Vs. Cookin' On 3 Burners),5247
2025-01-09 01:52,Kehlani,After Hours,1184
2025-01-09 01:52,Kehlani,After Hours,201387
2025-01-09 01:52,Lee Hyori,10 Minutes,2287
2025-01-09 01:55,Tyla,PUSH 2 START,156825
2025-01-09 01:59,Kehlani,After Hours,202414
2025-01-09 02:01,Doechii,NISSAN ALTIMA,126832
2025-01-09 02:03,Charli xcx,360,133805
2025-01-09 02:06,Gracie Abrams,That’s So True,166300
2025-01-09 02:09,Kendrick Lamar,luther (with sza),177598
2025-01-09 02:12,GloRilla,WHATCHU KNO ABOUT ME (feat. Sexyy Red),149461
2025-01-09 02:15,Billie Eilish,BIRDS OF A FEATHER,208564
2025-01-09 02:17,Tinashe,No Broke Boys,132773
2025-01-09 02:21,Kehlani,After Hours,202414
2025-01-09 02:21,Charli xcx,360,22235
2025-01-09 02:24,Gracie Abrams,That’s So True,166300
2025-01-09 02:24,Charli xcx,360,15685
2025-01-09 02:27,Chappell Roan,Red Wine Supernova,192720
2025-01-09 10:46,Chappell Roan,Femininomenon,45318
2025-01-09 10:46,Chappell Roan,Femininomenon,14025
2025-01-09 10:49,Gracie Abrams,That’s So True,166300
2025-01-09 10:51,GloRilla,WHATCHU KNO ABOUT ME (feat. Sexyy Red),149461
2025-01-09 10:52,Daft Punk,Get Lucky (feat. Pharrell Williams and Nile Rodgers),12149
2025-01-09 10:54,Tinashe,No Broke Boys,132773
2025-01-09 10:59,Kehlani,After Hours,202414
2025-01-09 11:01,Gunna,one of wun,487
2025-01-09 11:01,GloRilla,WHATCHU KNO ABOUT ME (feat. Sexyy Red),11855
2025-01-09 11:01,Charli xcx,360,133805
2025-01-09 11:04,Tyla,PUSH 2 START,156825
2025-01-09 12:06,Kehlani,After Hours,1788
2025-01-09 12:06,Kehlani,After Hours,186190
2025-01-09 12:06,Tyla,PUSH 2 START,0
2025-01-09 12:09,Kehlani,After Hours,5167
2025-01-09 12:09,Tyla,PUSH 2 START,156825
2025-01-09 12:12,Gracie Abrams,That’s So True,166300
2025-01-09 12:12,Charli xcx,360,0
2025-01-09 12:14,Kane Brown,Thank God,174560
2025-01-09 12:17,Marshmello,One Thing Right,181823
2025-01-09 12:21,Sam Hunt,Body Like A Back Road,216921
2025-01-09 12:24,Post Malone,I Had Some Help (Feat. Morgan Wallen),5106
2025-01-09 12:24,Bebe Rexha,Meant to Be (feat. Florida Georgia Line),164205
2025-01-09 12:26,Tinashe,No Broke Boys,132773
2025-01-09 14:09,Kehlani,After Hours,201024
2025-01-10 01:03,Kehlani,After Hours,1633
2025-01-10 01:03,Charli xcx,360,3579
2025-01-10 01:06,Gracie Abrams,That’s So True,166300
2025-01-10 01:08,Charli xcx,360,133805
2025-01-10 01:11,Kendrick Lamar,luther (with sza),177598
2025-01-10 01:38,Chappell Roan,Red Wine Supernova,47
2025-01-10 01:38,Chappell Roan,Red Wine Supernova,69089
2025-01-10 01:41,Gunna,one of wun,144000
2025-01-10 01:42,Gunna,on one tonight,90760
2025-01-10 01:45,GloRilla,WHATCHU KNO ABOUT ME (feat. Sexyy Red),149461
2025-01-10 01:45,Kendrick Lamar,luther (with sza),8484
2025-01-10 01:47,Tyla,PUSH 2 START,156825
2025-01-10 02:19,Kehlani,After Hours,202414
2025-01-10 02:19,Doechii,NISSAN ALTIMA,7959
2025-01-10 02:24,Gwen Stefani,The Sweet Escape,241626
2025-01-10 02:26,Sevdaliza,Alibi (with Pabllo Vittar & Yseult),161655
2025-01-10 02:27,Tinashe,Faded Love (feat. Future),25623
2025-01-10 02:29,Tinashe,No Broke Boys,132773
2025-01-10 02:29,Kehlani,After Hours,11409
2025-01-10 02:31,Gunna,one of wun,144000
2025-01-10 02:33,Gunna,on one tonight,90760
2025-01-10 02:34,GloRilla,WHATCHU KNO ABOUT ME (feat. Sexyy Red),35007
2025-01-10 02:36,Gracie Abrams,That’s So True,166300
2025-01-10 02:37,Charli xcx,360,21560
2025-01-10 02:40,Chappell Roan,Red Wine Supernova,192720
2025-01-10 02:40,Chappell Roan,Femininomenon,7213
2025-01-10 02:43,Kehlani,After Hours,3309
2025-01-10 02:43,Tyla,PUSH 2 START,156825
2025-01-10 02:47,Kardinal Offishall,Dangerous,246053
2025-01-10 02:48,David Guetta,I Don't Wanna Wait,41025
2025-01-10 02:50,Kane Brown,Thank God,174560
2025-01-10 02:53,Marshmello,One Thing Right,181823
2025-01-10 02:56,Sam Hunt,Body Like A Back Road,162546
2025-01-10 02:58,Bebe Rexha,Meant to Be (feat. Florida Georgia Line),94712
2025-01-10 03:01,Gracie Abrams,That’s So True,166300
2025-01-10 03:03,Charli xcx,360,133805
2025-01-10 03:06,Kendrick Lamar,luther (with sza),177598
2025-01-10 03:09,Chappell Roan,Red Wine Supernova,192720
2025-01-10 03:12,Sabrina Carpenter,Taste,157279
2025-01-10 03:14,Gracie Abrams,"I Love You, I'm Sorry",157146
2025-01-10 03:18,Billie Eilish,BIRDS OF A FEATHER,210373
2025-01-10 03:20,Charli xcx,Apple,151739
2025-01-10 04:24,Addison Rae,Diet Pepsi,1045
2025-01-10 04:24,Addison Rae,Diet Pepsi,117164
2025-01-10 04:27,Kendrick Lamar,Rich Spirit,202285
2025-01-10 04:31,Kendrick Lamar,tv off (feat. lefty gunplay),220690
2025-01-10 04:34,The Weeknd,Pray For Me,3623
2025-01-10 04:34,Tommy Richman,MILLION DOLLAR BABY,1509
2025-01-10 04:34,Hotel Ugly,Shut up My Moms Calling,998
2025-01-10 04:34,Jack Harlow,First Class,173947
2025-01-10 04:34,Frank Ocean,Thinkin Bout You,2020
2025-01-10 04:36,Frank Ocean,Lost,1114
2025-01-10 04:36,Key Glock,Ambition For Cash,1044
2025-01-10 04:36,Pop Smoke,What You Know Bout Love,1555
2025-01-10 04:36,Jack Harlow,Dua Lipa,2793
2025-01-10 04:36,Kendrick Lamar,squabble up,157992
2025-01-10 04:36,Migos,Stir Fry,394
2025-01-10 04:36,Tory Lanez,The Color Violet,1137
2025-01-10 04:37,Jack Harlow,Hello Miss Johnson,3018
2025-01-10 04:39,Gracie Abrams,That’s So True,166300
2025-01-10 04:41,Charli xcx,360,133805
2025-01-10 04:44,Kendrick Lamar,luther (with sza),177598
2025-01-10 05:52,Chappell Roan,Red Wine Supernova,157789
2025-01-10 05:52,Chappell Roan,Red Wine Supernova,35103
2025-01-10 05:55,Gracie Abrams,That’s So True,166300
2025-01-10 05:55,Doechii,NISSAN ALTIMA,2164
2025-01-10 05:58,Shaboozey,A Bar Song (Tipsy),171291
2025-01-10 06:01,Chappell Roan,Pink Pony Club,9498
2025-01-10 06:01,Gracie Abrams,That’s So True,166300
2025-01-10 06:01,Billie Eilish,BIRDS OF A FEATHER,1973
2025-01-10 06:04,Shaboozey,A Bar Song (Tipsy),171291
2025-01-10 06:04,Gracie Abrams,That’s So True,11251
2025-01-10 06:04,Lauv,I Like Me Better,7871
2025-01-10 06:04,Kendrick Lamar,Not Like Us,1184
2025-01-10 06:08,Mac Miller,Knock Knock,197929
2025-01-10 06:12,Future,Last Breath,239800
2025-01-10 06:13,Still Woozy,Goodie Bag,104756
2025-01-10 06:17,Lorde,Team,193058
2025-01-10 06:17,Eminem,The Monster,11519
2025-01-10 06:20,A Boogie Wit da Hoodie,Look Back at It,882
2025-01-10 06:20,Jack Harlow,First Class,6036
2025-01-10 06:20,Doja Cat,Juicy,203093
2025-01-10 06:23,blackbear,hot girl bummer,188343
2025-01-10 07:57,Katy Perry,Last Friday Night (T.G.I.F.),1950
2025-01-10 07:57,Fergie,Glamorous,4041
2025-01-10 07:57,Fergie,Glamorous,183721
2025-01-10 07:59,Tyla,PUSH 2 START,156825
2025-01-10 08:03,Kehlani,After Hours,202414
2025-01-10 08:03,Doechii,NISSAN ALTIMA,4684
2025-01-10 08:06,GloRilla,WHATCHU KNO ABOUT ME (feat. Sexyy Red),1021
2025-01-10 08:06,Megan Thee Stallion,Mamushi (feat. Yuki Chiba),1927
2025-01-10 08:06,Gracie Abrams,That’s So True,166300
2025-01-10 08:06,Addison Rae,Diet Pepsi,4620
2025-01-10 08:06,Sabrina Carpenter,Taste,1718
2025-01-10 08:06,Billie Eilish,BIRDS OF A FEATHER,789
2025-01-10 08:06,Kendrick Lamar,squabble up,859
2025-01-10 08:06,Kendrick Lamar,luther (with sza),1207
2025-01-10 08:06,Sevdaliza,Alibi (with Pabllo Vittar & Yseult),952
2025-01-10 08:06,Charli xcx,360,7628
2025-01-10 08:06,Charli xcx,Apple,835
2025-01-10 08:10,Tinashe,Nasty,905
2025-01-10 08:10,Chappell Roan,Pink Pony Club,534
2025-01-10 08:10,Sabrina Carpenter,Bed Chem,650
2025-01-10 08:10,Megan Thee Stallion,Mamushi (feat. Yuki Chiba),743
2025-01-10 08:10,Gracie Abrams,That’s So True,789
2025-01-10 08:10,Kehlani,After Hours,2005
2025-01-10 08:10,Addison Rae,Diet Pepsi,766
2025-01-10 08:10,Tyla,PUSH 2 START,766
2025-01-10 08:10,Sabrina Carpenter,Taste,696
2025-01-10 08:10,ROSÉ,APT.,743
2025-01-10 08:10,Billie Eilish,BIRDS OF A FEATHER,928
2025-01-10 08:10,Gracie Abrams,"I Love You, I'm Sorry",603
2025-01-10 08:10,Kendrick Lamar,luther (with sza),1068
2025-01-10 08:10,KATSEYE,Touch,719
2025-01-10 08:10,Lorde,The Love Club,371
2025-01-10 08:10,Sabrina Carpenter,Good Graces,626
2025-01-10 08:10,Sabrina Carpenter,Juno,223192
2025-01-10 08:10,Chappell Roan,Red Wine Supernova,812
2025-01-10 08:10,Charli xcx,360,789
2025-01-10 08:10,Sabrina Carpenter,Nonsense,905
2025-01-10 08:10,Charli xcx,Apple,696
2025-01-10 08:10,Tate McRae,exes,1625
2025-01-10 08:13,Chappell Roan,Casual,1021
2025-01-10 08:13,SZA,BMF,180746
2025-01-10 08:13,Sabrina Carpenter,Please Please Please,1300
2025-01-10 08:13,Mark Ambor,Belong Together,8274
2025-01-10 08:13,Lay Bankz,Tell Ur Girlfriend,1416
2025-01-10 08:16,Charli xcx,Von dutch,164284
2025-01-10 08:22,Benson Boone,Slow It Down,17771
2025-01-10 08:24,Tate McRae,she's all i wanna be,124133
2025-01-10 08:24,Adam Port,Move (feat. Camila Cabello & Malachiii),0
2025-01-10 08:24,Nicki Minaj,The Night Is Still Young,928
2025-01-10 08:24,Doechii,DENIAL IS A RIVER,1439
2025-01-10 08:24,Sabrina Carpenter,Feather,1114
2025-01-10 08:27,Chappell Roan,Femininomenon,219710
2025-01-10 08:37,Halsey,Bad At Love,14264
2025-01-10 08:40,Wallows,Are You Bored Yet? (feat. Clairo),1207
2025-01-10 08:40,Post Malone,I Had Some Help (Feat. Morgan Wallen),1393
2025-01-10 08:40,Gracie Abrams,Close To You,1137
2025-01-10 08:40,Sabrina Carpenter,Espresso,175459
2025-01-10 08:40,Troye Sivan,Rush,1207
2025-01-10 08:40,Olivia Rodrigo,get him back!,1625
2025-01-10 08:40,Ariana Grande,we can't be friends (wait for your love),1300
2025-01-10 08:40,Olivia Rodrigo,deja vu,1253
2025-01-10 08:40,Gigi Perez,Sailor Song,812
2025-01-10 08:40,Djo,End of Beginning,1462
2025-01-10 08:40,Billie Eilish,ocean eyes,2879
2025-01-10 08:40,Billie Eilish,LUNCH,789
2025-01-10 08:40,Lola Young,Messy,9057
2025-01-10 08:40,Chappell Roan,HOT TO GO!,1021
2025-01-10 08:40,Chappell Roan,"Good Luck, Babe!",1137
2025-01-10 08:40,Lorde,Supercut,3599
2025-01-10 08:40,Lorde,Ribs,1021
2025-01-10 08:40,Gracie Abrams,Risk,1625
2025-01-10 08:40,Olivia Rodrigo,bad idea right?,6246
2025-01-10 08:45,Kardinal Offishall,Dangerous,246053
2025-01-10 08:49,Rihanna,S&M,243600
2025-01-10 08:53,Nelly Furtado,Maneater,258893
2025-01-10 08:57,Gwen Stefani,The Sweet Escape,246466
2025-01-10 09:01,Macklemore & Ryan Lewis,Thrift Shop (feat. Wanz),235613
2025-01-10 09:04,Maroon 5,This Love,206200
2025-01-10 09:08,Mariah Carey,Touch My Body,204733
2025-01-10 09:11,A Boogie Wit da Hoodie,Look Back at It,179449
2025-01-10 09:15,Rihanna,Only Girl (In The World),235493
2025-01-10 09:18,Iyaz,Replay,182306
2025-01-10 09:22,Macklemore & Ryan Lewis,White Walls (feat. ScHoolboy Q & Hollis),220319
2025-01-10 09:25,Katy Perry,Last Friday Night (T.G.I.F.),230733
2025-01-10 09:28,Timbaland,The Way I Are,179146
2025-01-10 10:38,Soulja Boy,Kiss Me Thru The Phone,4064
2025-01-10 10:38,Soulja Boy,Kiss Me Thru The Phone,148170
2025-01-10 10:38,Rihanna,S&M,975
2025-01-10 10:38,Taio Cruz,Break Your Heart,2554
2025-01-10 10:38,Nelly Furtado,Maneater,812
2025-01-10 10:38,A Boogie Wit da Hoodie,Look Back at It,789
